,JP_shortTitle,shortTitle,itemId,title,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,TotalCounts
76,,leica ltm l39,293035389708,Canon 25mm View Finder Rangefinder Leica LTM L39 from Japan Exc-,127.0,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used,
84,,leica m lens,323854824185,[NearMint] Carl Zeiss Biogon T* 28mm f/2.8 ZM Leica M Lens (540-W453),620.0,USD,JP,3323,Lenses,StoreInventory,Used,
86,,canon rf accessory,143371383403,Canon RF Accessory Coupler for Canon model 7 #852032,59.0,USD,JP,3323,Lenses,StoreInventory,Used,
98,,leica screw mount,143371383380,Vintage!! Canon lens Leather Case for 100mm f3.5 leica screw mount,9.0,USD,JP,107894,"Cases, Bags & Covers",StoreInventory,Used,
1,,leica summilux m,153632284256,【Mint】 Leica Summilux M 50mm f/1.4 Black E46 Lens For M Mount  From JAPAN #8456,2399.99,USD,JP,3323,Lenses,StoreInventory,Used,
3,,leica summicron m,183737645664,[MINT] Leica Summicron M 35mm F/2 E39 7 Element Lens from japan #94,2750.0,USD,JP,3323,Lenses,StoreInventory,Used,
4,,leica m mount,174011343191,RICOH GXR w/A12 Leica M mount Lens Unit w/BOX Excellent From JAPAN #882,399.0,USD,JP,31388,Digital Cameras,StoreInventory,Used,
21,,leica m mount,293191277726,[MINT++]Voigtlander Ultron 28mm F/2 MF VM Lens for Leica M Mount w/Box #4248,520.0,USD,JP,3323,Lenses,StoreInventory,Used,
33,,【top mint in,223651817459,【TOP MINT in BOX】LEICA Leitz Tele-Elmarit-M 90mm F/2.8 Lens M Mount from JAPAN,999.8,USD,JP,3323,Lenses,StoreInventory,Used,
61,,leica m mount,333303523390,Excellent+++ Voigtlander Color Skopar 21mm F4P Leica M mount black lens,368.0,USD,JP,3323,Lenses,StoreInventory,Used,
67,,leica m lens,173844458534,【Exc】Metabones Leica M Lens to M43 Mount Camera Adapter Red from japan #172,69.0,USD,JP,30059,"Lens Adapters, Mounts & Tubes",StoreInventory,Used,
68,,leica m mount,293025936367,[MINT++]Voigtlander Ultron 28mm F/2 MF VM Lens for Leica M Mount w/Box #3403,520.0,USD,JP,3323,Lenses,StoreInventory,Used,
69,,leica m mount,392364607365,【N MINT】MINOLTA M ROKKOR 90mm f4 Lens for CL CLE Leica M Mount from Japan #101,219.99,USD,JP,3323,Lenses,FixedPrice,Used,
82,,【near mint+++】leica leitz,273952013005,【NEAR MINT+++】LEICA LEITZ CANADA SUMMICRON R 90mm f/2 3CAM R MOUNT From Japan,719.9,USD,JP,3323,Lenses,StoreInventory,Used,
83,,leica m4-2 35mm,264420730815,[MINT] Leica M4-2 35mm Rangefinder Film Camera Body BLACK From JAPAN,1104.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
93,,leica c1 ag,264453323600,"""EXC+++++"" Leica C1 AG VARIO ELMAR 38-105mm ASPH Point & Shoot From Japan #5260",229.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
1,,leica summicron r,183940994156,[Excellent+++] Leica Summicron R 35mm F/2 3Cam Lens from japan #373,999.0,USD,JP,3323,Lenses,StoreInventory,Used,
6,,leica screw mount,143373503949,Canon 135mm F/3.5 MF Telephoto Prime Lens SN110289 for L39 LTM Leica Screw Mount,89.8,USD,JP,3323,Lenses,StoreInventory,Used,
13,,leica screw 100mm,133158250399,Canon Metal Lens Hood T-42 for Leica screw 100mm f3.5 #606992,9.0,USD,JP,78999,Lens Hoods,StoreInventory,Used,
40,,leica screw mount,254311668660,NIKKOR-H.C. 5cm 50mm f2 f/2 Nippon Kogaku Japan Leica screw mount from Japan,139.99,USD,JP,3323,Lenses,StoreInventory,Used,
41,,leica l39 #18186#8/24,143194449905,Canon 50mm F/1.4 Lens for Leica L39 #18186#8/24,189.0,USD,JP,3323,Lenses,StoreInventory,Used,
42,,leica screw mount,233329088317,【N MINT+++】 Canon 50mm f/1.4 Leica Screw Mount L39 LTM w/ Metal Hood from JAPAN,269.99,USD,JP,3323,Lenses,StoreInventory,Used,
43,,leica l screw,283601936138,CHIYODA KOGAKU SUPER ROKKOR 50mm F1.8 Leica L Screw LTM Mount Prime Lens,198.0,USD,JP,3323,Lenses,FixedPrice,Used,
50,,leica leica 0,143215937332,Leica LEICA 0 Series Oskar Barnack Edition #17180#7/1,1776.6,USD,JP,15230,Film Cameras,StoreInventory,Used,
54,,leica m #17805g4,143219373138,Konica M-Hexanon 28mm F/2.8 Lens for Leica M #17805G4,472.5,USD,JP,3323,Lenses,StoreInventory,Used,
55,,leica lens case,223486850274,Genuine Leica Lens Case Vertical horizontal height 8x8x13 cm 13606,38.25,USD,JP,107894,"Cases, Bags & Covers",FixedPrice,Used,
69,,leica leitz summicron-m,133065330244,Leica Leitz Summicron-M 50mm F/2 Lens for Leica M #21912 C1,1398.6,USD,JP,3323,Lenses,FixedPrice,Used,
85,,leica screw mount,133158250456,nicca type-IV-s  Film Camera leica screw mount #72439,109.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
91,,leica m for,303273366878,【UNUSED In Box】 Minolta M-Rokkor 90mm F/4 Leica M For CL CLE From Japan 592,299.9,USD,JP,3323,Lenses,StoreInventory,Used,
92,,leica screw mount,153622380414,Canon 50mm f1.8 Leica Screw Mount LTM L39 From Japan [Exc] #82520A,110.0,USD,JP,3323,Lenses,FixedPrice,Used,
97,,leica screw mount,273958666226,[MINT + Hood] Canon 50mm f/1.4 L39 Leica Screw Mount LTM Lens Camera Japan 693,379.9,USD,JP,3323,Lenses,StoreInventory,Used,
0,,leica screw mount,143371381872,CANON Front lens Cap for 50mm F1.4 leica screw mount  #64138,14.0,USD,JP,79001,Lens Caps,StoreInventory,Used,
3,,leica i.d about,323895829683,Genuine Leica I.D about 45mm silver Lens Front Cap for Summarit 5cm F1.5 etc.,29.99,USD,JP,79001,Lens Caps,FixedPrice,Used,
10,,leica screw mount,303227801536,Canon 50mm F/1.8 Leica Screw Mount LTM 39 Lens.From Japan#2197,84.0,USD,JP,3323,Lenses,FixedPrice,Used,
15,,leica l mount,264451694059,"""EXC+++++"" Minolta M Rokkor 40mm f/2 for CL CLE Leica L mount From Japan #5148",319.0,USD,JP,3323,Lenses,StoreInventory,Used,
16,,leica r6.2 black,273992445119,[TOP MINT IN BOX] Leica R6.2 Black 35mm Film Camera Strap Manual From Japan 757,1199.9,USD,JP,15230,Film Cameras,StoreInventory,Used,
17,,leica screw mount,183931511647,【Exc+++】 Canon Model 7 35mm Rangefinder Body Leica Screw mount From JAPAN #1507,69.9,USD,JP,15230,Film Cameras,StoreInventory,Used,
19,,leica minilux zoom,143361193728,Leica Minilux Zoom 35mm Compact Film Camera #23182 D1,548.1,USD,JP,15230,Film Cameras,FixedPrice,Used,
20,,leica screw mount,323850981295,Canon model IId 2d Leica screw mount Rangefinder 35mm Film camera Body JAPAN,144.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
23,,leica minilux zoom,333307479459,LEICA MINILUX ZOOM 35mm Film Camera Body 35-70mm F3.5-6.5 with Box #190630b,545.59,USD,JP,15230,Film Cameras,StoreInventory,Used,
25,,leica winder m,123704101702,[Excellent +++] Leica Winder M 14403 + 14402 for Leica M From Japan,84.5,USD,JP,29970,Motor Drives & Winders,StoreInventory,Used,
26,,leica mc light,283595836854,""" Near Mint "" Leica MC Light Meter For M2 M3 M4 M4-2 M4-P From Japan #151",89.8,USD,JP,88668,Light Meters,StoreInventory,Used,
37,,leica mount f/japan,273778593584,Voigtlander Color Skopar 35mm f/2.5 II P MF Lens For Leica Mount f/Japan Mint,420.0,USD,JP,3323,Lenses,StoreInventory,Used,
39,,leica leitz summilux,163842061112,【MINT in BOX】 Leica Leitz Summilux 50mm f/1.4 M Mount Black 2nd E43 JAPAN #099,2399.9,USD,JP,3323,Lenses,StoreInventory,Used,
43,,leica m mount,264429786566,【NEAR MINT+++】 MINOLTA M-ROKKOR 40mm F2 w/ Hood Leica M Mount for CL CLE JAPAN,424.9,USD,JP,3323,Lenses,StoreInventory,Used,
49,,"""rare top mint",202759420177,"""RARE TOP MINT in BOX""Leica M6 TTL 0.58 JAPAN Model 35mmRangefinder Camera #3026",2945.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
52,,leica leitz m,392317982453,【NEAR MINT】Minolta M Rokkor 40mm f/2 for Leica Leitz M Mount CL CLE from Japan,514.9,USD,JP,3323,Lenses,StoreInventory,Used,
63,,leica minilux 35mm,303273366859,【NEAR MINT】 Leica Minilux 35mm Point & Shoot Film Camera From Japan #653,719.9,USD,JP,15230,Film Cameras,StoreInventory,Used,
93,,leica cl cle,163774539696,[Exc+++++] MINOLTA M-ROKKOR-QF 40mm F2 M Mount Lens Leica CL CLE from Japan 1089,439.99,USD,JP,3323,Lenses,StoreInventory,Used,
6,,leica dg summilux,193075379752,Panasonic LUMIX LEICA DG SUMMILUX 25mm/F1.4 ASPH. H-X025 F/S from JAPAN,299.0,USD,JP,3323,Lenses,FixedPrice,Used,
11,,leica l l39,193073156917,【EXC+++++!!】 Voigtlander Ultron 35mm f/ 1.7 Aspherical Leica L L39 Mount #0839,379.99,USD,JP,3323,Lenses,StoreInventory,Used,
17,,leica iiif red,153618597066,APPEARANCE MINT Leica IIIF Red Dial Camera W/ Summitar 5cm 50mm f/2 from Japan,599.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
20,,leica genuine strap,283509066524,Leica Genuine Strap for M6 M7 M8 M9 M10 R4 R5 R6 R8-#Kasai-1-Excellent,44.99,USD,JP,64343,Straps & Hand Grips,StoreInventory,Used,
21,,leica 39mm screw,133158250452,CANON 50mm/F3.5 collapsible Leica 39mm screw mount #22031,109.0,USD,JP,3323,Lenses,StoreInventory,Used,
24,,leica m mount,264434310713,*BOX* LEITZ MINOLTA CL RANGEFINDER CAMERA LEICA M MOUNT BATTERY ADAPTER JAPAN,369.9,USD,JP,15230,Film Cameras,StoreInventory,Used,
26,,leica dg summilux,143274017674,Panasonic Leica DG Summilux 15mm F/1.7 ASPH. Lens for M4/3 With Box #21987,378.0,USD,JP,3323,Lenses,FixedPrice,Used,
27,,leica summicron-m 35mm,143242256869,Leica Summicron-M 35mm F/2 ASPH. E39 6-Bit Lens for Leica M With Box #21439,2532.6,USD,JP,3323,Lenses,FixedPrice,Used,
32,,leica m mount,223647590826,[For Parts or Repair] Ricoh GXR mount A12 Leica M mount From Japan #8023,150.0,USD,JP,31388,Digital Cameras,StoreInventory,Used,
34,,leica summilux-r 50mm,183810620383,[NEAR MINT] Leica Summilux-R 50mm f/1.4 [R only] Lens from japan #268,1599.0,USD,JP,3323,Lenses,StoreInventory,Used,
37,,leica rangefinder from,202654805972,Canon Universal Finder for 35-135mm LEICA Rangefinder from Japan,85.0,USD,JP,88668,Light Meters,StoreInventory,Used,
47,,leica l39 <<,264430867119,Voigtlander Heliar 50mm f/3.5 101th Lens for Leica L39  << Excellent >>,499.0,USD,JP,3323,Lenses,StoreInventory,Used,
55,,leica l39 screw,183910583210,[AB- Exc]Nikon W-NIKKOR 2.8cm 28mm f/3.5 Lens Leica L39 Screw Nippon Kogaku 5713,648.0,USD,JP,3323,Lenses,FixedPrice,Used,
56,,leica m #4062,293082836753,[MINT]Voigtlander Color-Skopar 35mm F/2.5 Lens for Leica M #4062,370.0,USD,JP,3323,Lenses,StoreInventory,Used,
66,,leica m6 0.72,163837538114,[Top Mint] Leica M6 0.72 Black 35mm Rangefinder Film Camera From Japan #2247,2199.9,USD,JP,15230,Film Cameras,FixedPrice,Used,
71,,leica screw mount,143371381797,Nippon Kogaku Japan NIKKOR-S.C 5cm 50mm f1.4 f/1.4 Leica screw mount,317.0,USD,JP,3323,Lenses,StoreInventory,Used,
81,,leica leitz elmarit,303254493266,*Excellent* Leica Leitz Elmarit M 135mm f/2.8 Lens from Japan #2964,289.0,USD,JP,3323,Lenses,StoreInventory,Used,
85,,leica m #3031,202759817650,"""TOP MINT""Carl Zeiss Planar T* 50mm f/2 ZM with HOOD in BLACK  for LEICA M #3031",625.0,USD,JP,3323,Lenses,StoreInventory,Used,
94,,leica m w/box,293175974131,[MINT]Carl Zeiss Biogon T* 28mm F/2.8 ZM Lens for Leica M w/Box #4230,699.0,USD,JP,3323,Lenses,StoreInventory,Used,
0,,leica elmarit-r 35mm,202747288044,"Leica Elmarit-R 35mm f/2.8 E55 GERMANY  R-Mount ""Excellent++"" #2649",625.0,USD,JP,3323,Lenses,StoreInventory,Used,
7,,leica apo-extender-r 1.4x,183862728593,[AB- Exc] Leica APO-EXTENDER-R 1.4x for APO-TELYT 280mm f/2.8 From JAPAN 5639,368.0,USD,JP,3323,Lenses,FixedPrice,Used,
9,,leica screw nikkor-h.c.,143371381864,nicca lens Hood for  Leica screw NIKKOR-H.C. 5cm 50mm f2 f/2 #33092,29.0,USD,JP,78999,Lens Hoods,StoreInventory,Used,
10,,leica l39 screw,183917819001,[Rare Black] AVENON SUPER WIDE 21mm f/2.8 Lens Leica L39 Screw Finder JAPAN 5745,658.0,USD,JP,3323,Lenses,FixedPrice,Used,
11,,leica screw mount,143371381890,NICCA Lens Cap for 50mm F2 NIKKOR H.C. leica screw mount  #151733 50mm,19.0,USD,JP,79001,Lens Caps,StoreInventory,Used,
12,,leica screw mount,163837361724,[Rare N Mint] Canon Lens 85mm F1.9 Leica Screw Mount L39 LTM w/85mm Finder Japan,329.99,USD,JP,3323,Lenses,StoreInventory,Used,
23,,leica m mount,183933475192,【EXC+++++】Minolta CL Rangefinder Film Camera 40mm f/2 Leica M Mount From JAPAN,699.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
24,,leica leitz macro-elmarit-r,193021579410,"Leica Leitz Macro-Elmarit-R 60mm f/2.8 2 Cam ""VERY GOOD"" #2987",445.0,USD,JP,3323,Lenses,StoreInventory,Used,
29,,leica m3 high,192865151737,"Leica M3  High serial number 35mm Rangefinder Film Camera ""VERY GOOD"" #2712",865.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
53,,【excellent+++++】leica minilux zoom,283571005860,【Excellent+++++】Leica Minilux Zoom Date 35mm Rangefinder Film Camera-#1438,499.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
55,,leica leitz wetzlar,153614276509,[Excellent+++++] Leica Leitz Wetzlar Summicron-C 40mm f/2 Lens From Japan 754,659.99,USD,JP,3323,Lenses,FixedPrice,Used,
57,,leica screw from,133155504782,【MINT】 Voigtlander Apo Lanthar 90mm f/3.5 MC Silver Leica Screw From Japan 145,289.9,USD,JP,3323,Lenses,StoreInventory,Used,
67,,leica m w/hood,323847266032,[NearMint] Voigtlander Colore Skopar 25mm F/4 P Leica M W/Hood (280-W381),330.0,USD,JP,3323,Lenses,StoreInventory,Used,
70,,leica l39 458804,333253464065,【Exc+】Voigtlander Color Skopar 35mm F2.5 MC Black Lens for Leica L39  458804,292.98,USD,JP,3323,Lenses,StoreInventory,Used,
74,,leica r3 electronic,254345860971,【 Near Mint+++ 】 Leica R3 Electronic 35mm SLR Film Camera Body from JAPAN #890,217.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
78,,leica l screw,163834871118,【EXC+5】 Canon 50mm f/1.4 Lens For Leica L Screw Mount L39 LTM From JAPAN #053,219.9,USD,JP,3323,Lenses,StoreInventory,Used,
92,,leica sf20 [excellent],293204012517,Leica SF20 [EXCELLENT] from Japan (14834),118.0,USD,JP,48515,Flashes,FixedPrice,Used,
93,,leica m mount,223629628122,VOIGTLANDER NOKTON CLASSIC 40mm F1.4 S.C. VM MF Lens for Leica M Mount #190814a,378.0,USD,JP,3323,Lenses,StoreInventory,Used,
95,,leica m3 35mm,202768948486,"Leica M3  35mm Rangefinder Film Camera Single Strocke ""VERY GOOD"" #3099",845.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
97,,leica leitz genuine,283570254520,[Excellent] Leica Leitz Genuine Camera Leather Case Made in Germany k236,12.99,USD,JP,107894,"Cases, Bags & Covers",StoreInventory,Used,
2,,leica screw mount,362734785564,【Excellent】Canon 50mm F/1.2 Leica Screw Mount L39 Lens from JAPAN,398.0,USD,JP,3323,Lenses,FixedPrice,Used,
3,,leica screw mount,293200879761,"Canon 35mm F2.8 Leica Screw Mount LTM L39 Lens ""MINT"" From Japan#4101",249.0,USD,JP,3323,Lenses,StoreInventory,Used,
17,,leica elmar-m 135mm,323896855567,LEICA ELMAR-M 135mm F2.8 Late Model with Goggle Finder M mount #190730c,298.0,USD,JP,3323,Lenses,StoreInventory,Used,
19,,leica screw l39,202632610652,"""APP Excellent++++(AS IS)"" Canon 100mm F/3.5 Leica Screw L39 Mount From JP #0911",74.0,USD,JP,3323,Lenses,StoreInventory,Used,
27,,leica screw mount,303247721240,Canon 50mm F/1.8 Lens Leica Screw Mount LTM L39 from Japan 328106 MINT-,170.0,USD,JP,3323,Lenses,FixedPrice,Used,
30,,【overhauled mint】leica m3,233322056031,【Overhauled MINT】Leica M3 Single Stroke 35mm Rangefinder Film Camera Japan 1320,1499.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
33,,leica screw manual,153613488276,【APPEARANCE MINT】 Canon 50mm f/1.4 L39 LTM Leica Screw Manual Lens Japan 1738,139.99,USD,JP,3323,Lenses,StoreInventory,Used,
38,,leica screw mount,392403017106,Excellent+++++ Canon 100mm f/3.5 Leica Screw Mount L39 Lens Finder From Japan,119.99,USD,JP,3323,Lenses,StoreInventory,Used,
