,Unnamed: 0,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,Lenses,Film Cameras,Viewfinders & Eyecups,Digital Cameras,Flashes,Lens Hoods,Lens Caps,Battery Grips,"Lens Adapters, Mounts & Tubes","Cases, Bags & Covers"
16,88,,nikon f w,2.33306E+11,Excellent+++ SIGMA Art 50mm F1.4 DG HSM For Nikon F w/ hood,https://www.ebay.com/itm/Excellent-SIGMA-Art-50mm-F1-4-DG-HSM-Nikon-F-w-hood-/233305982341,570,USD,JP,3323,Lenses,StoreInventory,Used,0.133130263,0.112646121,-1.23E-16,0.022727273,5.55E-17,0.235897436,0.084745763,2.65E-16,-7.63E-17,0.037037037
17,99,,nikon fm10 35mm,3.5279E+11,Nikon FM10 35mm SLR Film Camera with 35-135 mm f/3.5-4.5 lens Kit from Japan F/S,https://www.ebay.com/itm/Nikon-FM10-35mm-SLR-Film-Camera-35-135-mm-f-3-5-4-5-lens-Kit-Japan-F-S-/352790119277,149.99,USD,JP,15230,Film Cameras,StoreInventory,Used,0.284178463,0.256818987,0.05019305,0.077272727,0.087719298,0.246153846,0.231638418,0.054421769,0.104761905,0.101851852
18,3,,nikon from japan,1.73883E+11,[EXC+] Tamron  Non Ai 70-210mm f/3.8-4 Macro Zoom Lens for Nikon From Japan #791,https://www.ebay.com/itm/EXC-Tamron-Non-Ai-70-210mm-f-3-8-4-Macro-Zoom-Lens-Nikon-Japan-791-/173882826767,39.99,USD,JP,3323,Lenses,StoreInventory,Used,0.161082243,0.149132129,0.131274131,0.054545455,0.052631579,0.184615385,0.096045198,0.115646259,0.076190476,0.138888889
19,10,,nikon f mount,3.6272E+11,tamron af tele-macro 70-210mm f4-5.6 lenses for nikon f mount. Excellent. #61,https://www.ebay.com/itm/tamron-af-tele-macro-70-210mm-f4-5-6-lenses-nikon-f-mount-Excellent-61-/362720098190,50,USD,JP,3323,Lenses,FixedPrice,Used,0.289733023,0.200141693,0.305019305,0.140909091,0.257309942,0.287179487,0.225988701,0.306122449,0.180952381,0.268518519
20,18,,nikon f photomic,2.54349E+11,Nikon F Photomic FTN Finder  SN675037,https://www.ebay.com/itm/Nikon-F-Photomic-FTN-Finder-SN675037-/254348691918,43.8,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used,0.027414442,0.047467233,0.042471042,0.031818182,0.01754386,0.020512821,-1.77E-16,0.020408163,0.028571429,0.037037037
21,23,,nikon speed light,2.33193E+11,Nikon Speed light SB-25 Flash with Soft Case SS-24 Excellent,https://www.ebay.com/itm/Nikon-Speed-light-SB-25-Flash-Soft-Case-SS-24-Excellent-/233193440162,29.99,USD,JP,48515,Flashes,StoreInventory,Used,-1.14E-16,-9.37E-17,-1.23E-16,3.12E-17,0.023391813,3.47E-18,-1.77E-16,2.65E-16,-7.63E-17,6.94E-17
22,29,,nikon pcnikkor 35mm,1.63758E+11,Nikon PC-NIKKOR 35mm f/2.8 Non AI Perspective Control Shift Lens Made In Japan,https://www.ebay.com/itm/Nikon-PC-NIKKOR-35mm-f-2-8-Non-AI-Perspective-Control-Shift-Lens-Made-Japan-/163757907011,152.52,USD,JP,3323,Lenses,StoreInventory,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
23,30,,nikon f100 35mm,3.62748E+11,[Mint] Nikon F100 35mm SLR Film Camera Body + Strap from Japan,https://www.ebay.com/itm/Mint-Nikon-F100-35mm-SLR-Film-Camera-Body-Strap-Japan-/362747582396,229.99,USD,JP,15230,Film Cameras,StoreInventory,Used,0.188317506,0.247254694,0.05019305,0.063636364,0.081871345,0.153846154,0.13559322,0.054421769,0.085714286,0.101851852
24,31,,nikon afs nikkor,3.12767E+11,Nikon AF-S Nikkor 24-85mm F3.5-4.5 G ED Lens w/caps from Japan #491140,https://www.ebay.com/itm/Nikon-AF-S-Nikkor-24-85mm-F3-5-4-5-G-ED-Lens-w-caps-Japan-491140-/312766875716,169.8,USD,JP,3323,Lenses,StoreInventory,Used,0.197097294,0.179241941,0.05019305,0.086363636,0.081871345,0.153846154,0.13559322,0.06122449,0.085714286,0.101851852
25,40,,nikon s mount,1.73873E+11,[EXC+3] NIPPON KOGAKU NIKKOR S.C 5cm f1.4 LENS NIKON S Mount FOR S1 S2 S3 S4 #38,https://www.ebay.com/itm/EXC-3-NIPPON-KOGAKU-NIKKOR-S-C-5cm-f1-4-LENS-NIKON-S-Mount-S1-S2-S3-S4-38-/173872721080,117.45,USD,JP,3323,Lenses,StoreInventory,Used,-1.14E-16,-9.37E-17,-1.23E-16,3.12E-17,5.55E-17,3.47E-18,-1.77E-16,2.65E-16,-7.63E-17,6.94E-17
