,Unnamed: 0,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model
1105,59,,nikon zoomnikkor 3570mm,223642202471,Nikon Zoom-NIKKOR 35-70mm F3.5-4.8 AI-S Lens SN5104651,https://www.ebay.com/itm/Nikon-Zoom-NIKKOR-35-70mm-F3-5-4-8-AI-S-Lens-SN5104651-/223642202471,24.8,USD,JP,3323,Lenses,StoreInventory,Used,
1106,60,,nikon af micro,233329159687,Near Mint Nikon AF Micro Nikkor 105mm f/2.8 Macro Closeup Telephoto Lens Japan,https://www.ebay.com/itm/Near-Mint-Nikon-AF-Micro-Nikkor-105mm-f-2-8-Macro-Closeup-Telephoto-Lens-Japan-/233329159687,220.0,USD,JP,3323,Lenses,StoreInventory,Used,
1107,66,,nikon front lens,233177154647,Vintage Nikon Front  Lens Cap 40.5mm with Chrome Buttons,https://www.ebay.com/itm/Vintage-Nikon-Front-Lens-Cap-40-5mm-Chrome-Buttons-/233177154647,16.8,USD,JP,79001,Lens Caps,FixedPrice,Used,
1108,73,,nikon speedlight sb26,143179312598,【 EXC+++++ 】 Nikon Speedlight SB-26 Shoe Mount Flash SB26 From Japan #9002,https://www.ebay.com/itm/EXC-Nikon-Speedlight-SB-26-Shoe-Mount-Flash-SB26-Japan-9002-/143179312598,49.9,USD,JP,48515,Flashes,StoreInventory,Used,
1109,76,,nikon lf1 rear,132995797327,Nikon LF-1 rear Cap for Nikon F mount Lens genuine from Japan[145],https://www.ebay.com/itm/Nikon-LF-1-rear-Cap-Nikon-F-mount-Lens-genuine-Japan-145-/132995797327,9.0,USD,JP,79001,Lens Caps,StoreInventory,Used,
1110,77,,nikon lf1 rear,132995799777,Nikon LF-1 rear Cap for Nikon F mount Lens genuine from Japan[140],https://www.ebay.com/itm/Nikon-LF-1-rear-Cap-Nikon-F-mount-Lens-genuine-Japan-140-/132995799777,9.0,USD,JP,79001,Lens Caps,StoreInventory,Used,
1111,78,,nikon lf1 rear,132995799879,Nikon LF-1 rear Cap for Nikon F mount Lens genuine from Japan[138],https://www.ebay.com/itm/Nikon-LF-1-rear-Cap-Nikon-F-mount-Lens-genuine-Japan-138-/132995799879,9.0,USD,JP,79001,Lens Caps,StoreInventory,Used,
1112,87,,nikon speedlight sb26,202767575487,"""Near Mint"" Nikon Speedlight SB-26 Shoe Mount Flash For Nikon From Japan   #2580",https://www.ebay.com/itm/Near-Mint-Nikon-Speedlight-SB-26-Shoe-Mount-Flash-Nikon-Japan-2580-/202767575487,59.0,USD,JP,48515,Flashes,StoreInventory,Used,
1113,99,,nikon sb12 speedlight,362722129042,【Near Mint】 Nikon SB-12 Speedlight Flash for Nikon F3  From Japan 25,https://www.ebay.com/itm/Near-Mint-Nikon-SB-12-Speedlight-Flash-Nikon-F3-Japan-25-/362722129042,26.99,USD,JP,48515,Flashes,FixedPrice,Used,
1114,1,,nikon af from,233327503871,[Exc++++] KENKO N-AFs 2x TELEPLUS MC7 TELECONVERTER for Nikon AF from JAPAN,https://www.ebay.com/itm/Exc-KENKO-N-AFs-2x-TELEPLUS-MC7-TELECONVERTER-Nikon-AF-JAPAN-/233327503871,48.8,USD,JP,3323,Lenses,StoreInventory,Used,
1115,26,,near mintnikon nikkoro,233314675552,【Near Mint】Nikon Nikkor-O 50mm f/2.8 MF Lens For Zenza Bronica From Japan #74,https://www.ebay.com/itm/Near-Mint-Nikon-Nikkor-O-50mm-f-2-8-MF-Lens-Zenza-Bronica-Japan-74-/233314675552,149.99,USD,JP,3323,Lenses,FixedPrice,Used,
1116,30,,nikon f mount,323896892882,TAMRON SP 70-300mm F4-5.6 Di VC USD A005 Lens for Nikon F Mount #190826a,https://www.ebay.com/itm/TAMRON-SP-70-300mm-F4-5-6-Di-VC-USD-A005-Lens-Nikon-F-Mount-190826a-/323896892882,228.0,USD,JP,3323,Lenses,StoreInventory,Used,
