,model,primaryCategory.categoryId,Unnamed: 0,JP_shortTitle,itemId,currentPrice,TotalCounts
344,Nikon Reflex Nikkor C 500mm f/8,3323,89.0,,293217006112.0,149.99,15.0
345,Nikon S2,15230,50.5,,213170653875.5,624.45,151.0
346,Nikon SB-22 Speedlight,48515,11.0,,163824382981.0,5.4,29.0
347,Nikon Speedlight SB-23,48515,39.0,,133161472230.0,29.99,27.0
348,Nikon TC-200,3323,24.0,,163842373841.0,38.7,50.0
349,Nikon TW Zoom QD,15230,32.0,,352749466498.0,17.99,3.0
350,Nikon Teleconverter TC-200 2X,80390,98.0,,264379652574.0,18.78,44.0
351,Nikon Teleconverter TC-301,3323,36.0,,283543479970.0,59.99,20.0
352,Nikon Zoom NIKKOR 35-70mm f/2.8 D,3323,47.0,,273994576258.0,135.15,71.0
353,Nikon Zoom Nikkor Series E Ai-s 70-210mm F4,3323,67.0,,223461175897.0,109.99,5.0
354,Nikon Zoom-NIKKOR Ai-S 35-200mm f/3.5-4.5 AiS,3323,35.0,,183938045299.0,109.0,5.0
355,Nikon Zoom-NIKKOR* ED,3323,3.0,,174017774393.0,499.99,571.0
356,Nikon ai-s 50mm f1.4,3323,24.0,,223454546486.0,116.9,188.0
357,Nikonos IV-A,15230,5.0,,202648909415.0,149.99,39.0
358,Nikonos IV=A,15230,62.0,,123864691250.0,99.9,39.0
359,Nippon Kogaku NIKKOR-Q 200mm f/4,3323,62.0,,283608060423.0,52.99,2.0
360,Nippon Kogaku Tokyo Repro Kit Model PF,30059,17.0,,223658418345.0,299.8,2.0
361,Nippon Kougaku Nikon Nikkor S-c f1.4 5cm,3323,40.0,,173872721080.0,117.45,0.0
362,PG-2,162480,15.0,,283429549428.0,116.45,126.0
363,PS-4,30059,80.0,,372738783621.0,69.95,12624.0
364,R8 SUPER,4689,81.0,,293017218913.0,178.33,58.0
365,S9400,31388,17.0,,283497579283.0,97.75,14.0
366,SB-16,48515,3.0,,264102676194.0,7.5,112.0
367,SB-17,48515,83.0,,362727272242.0,19.99,54.0
368,SB-20,48515,0.0,,143260132699.0,15.0,62.0
369,SB-25,48515,23.0,,233193440162.0,29.99,42.0
370,SIGMA 18-200mm F/3.5-6.3 DC OS HSM ZOOM Lens for N,3323,67.0,,153608050808.0,144.99,0.0
371,Sigma 14mm f/3.5,3323,99.0,,163855906698.0,128.7,6.0
372,Sigma 17-50mm f/2.8 EX DC OS HSM,3323,64.0,,173946425148.0,141.95,142.0
373,Sigma 70-200mm F/2.8D,3323,48.0,,143327623068.0,385.0,7.0
374,Sigma EX 105mm f/2.8D Macro,3323,98.0,,123881819728.0,169.99,24.0
375,Sigma Super Wide II,3323,50.5,,283608746784.0,99.99,27.0
376,Sigma zoom,3323,59.0,,254322358451.0,39.9,2096.0
377,Sonnar T*,3323,39.0,,193090384270.0,57.99,1273.0
378,Speedlight SB-27,48515,31.0,,183926928313.0,44.99,29.0
379,TAMRON LD ASPH IS 28-300mm Macro f/3.5-6.3,3323,43.0,,383122548028.0,13.99,1.0
380,TAMRON TAP-in Console TAP-01,30059,85.0,,401776978725.0,49.99,11.0
381,TC-17E II,3323,39.0,,383073415446.0,249.9,41.0
382,TC-200,3323,25.0,,254344255341.0,56.55,74.0
383,TC-200 2X,3323,1.0,,401866764605.0,40.99,46.0
384,TC-201 2X,3323,96.0,,312669985005.0,39.9,43.0
385,TC-20E 2X,3323,26.0,,193089181453.0,79.0,50.0
386,TC-301,3323,28.0,,123782639221.0,80.0,25.0
387,Tokina AT-X 90mm F2.5 Macro,3323,17.0,,133001790147.0,317.0,27.0
388,Tokina AT-X AF SD 400mm F5.6 AF400 Close Focus,3323,15.0,,323910249157.0,349.0,4.0
389,Tokina AT-X PRO AF 20-35mm f/2.8,3323,40.0,,193062741149.0,209.0,8.0
390,Tokina AT-X Pro AF 28-70mm F/2.8,3323,67.0,,193082529122.0,159.0,84.0
391,Tokina AT-X Pro AF 28-70mm f2.8 For Nikon,3323,54.0,,273990142675.0,209.11,44.0
392,Tokina RMC 70-210mm f/3.5,3323,13.0,,163859052112.0,9.0,3.0
393,Tokina SZ-X 60-300mm F/4-5.6,3323,70.0,,264287355429.0,39.99,4.0
394,Type B2 For,30059,98.0,,352695852163.0,26.99,10.0
395,Type E2,162480,65.0,,202762136877.0,54.8,138.0
396,Voigtlander Color Heliar 75mm F/2.5 SL for Nikon,3323,69.0,,133155797069.0,313.5,4.0
397,Voigtlander NOKTON 58mm F/1.4 SL II S,3323,23.0,,264452073674.0,479.99,13.0
398,Voigtlander Nokton 58mm F1.4 SL II,3323,46.0,,293195080272.0,499.9,25.0
399,Voigtlander Ultron 40mm F2 SL II,3323,3.0,,123855017338.0,360.0,22.0
400,Voigtlander Ultron 40mm F2 SL II N Aspherical,3323,17.0,,173997698443.0,439.99,7.0
401,ais 28-85mm f3.5-4.5,3323,3.0,,133160543944.0,69.99,35.0
402,nikon nikkor,3323,41.0,,353150973674.6667,206.63333333333333,15754.0
403,tamron af tele-macro 70-210mm f4-5.6 lens,3323,10.0,,362720098190.0,50.0,2.0
