,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts,Target
59,,Nikon NIKKOR 70210 mm f4056 AF Lens japan 433874,383138891081,Nikon NIKKOR 70-210mm f/4.0-5.6 AF Lens w/cap from japan 433874 [very good],https://www.ebay.com/itm/Nikon-NIKKOR-70-210mm-f-4-0-5-6-AF-Lens-w-cap-japan-433874-very-good-/383138891081,60.0,USD,JP,3323,Lenses,StoreInventory,Used,nikon af,10523.0,21
49,,Nikon AFS Nikkor 1870 mm f3545 G ED DX whood 380 FS,113772589226,Nikon AF-S Nikkor 18-70mm f/3.5-4.5 G ED IF DX w/hood [excellent] #380 F/S !!,https://www.ebay.com/itm/Nikon-AF-S-Nikkor-18-70mm-f-3-5-4-5-G-ED-IF-DX-w-hood-excellent-380-F-S-/113772589226,110.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF,10522.0,21
54,,Mint Nikon AF Micro NIKKOR 105 mm f28 D Telephoto Lens Japan,174023566227,【 Mint 】Nikon AF Micro NIKKOR 105mm f/2.8 D Telephoto Lens from Japan,https://www.ebay.com/itm/Mint-Nikon-AF-Micro-NIKKOR-105mm-f-2-8-D-Telephoto-Lens-Japan-/174023566227,249.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF,10522.0,21
56,,Nikon AF Nikkor 2450 mm F3345 D Zoom Lens JAPAN Exc 487163A,254353378004,Nikon AF Nikkor 24-50mm F/3.3-4.5 D Zoom Lens from JAPAN [Exc+++++] #487163A,https://www.ebay.com/itm/Nikon-AF-Nikkor-24-50mm-F-3-3-4-5-D-Zoom-Lens-JAPAN-Exc-487163A-/254353378004,69.9,USD,JP,3323,Lenses,FixedPrice,Used,Nikon Nikkor  AF,8208.0,21
23,,Mint Nikon AF Nikkor 50 mm D Standard Lens w Cap Japan 970,401885734980,"""Mint"" Nikon AF Nikkor 50mm f/1.4 D Standard Lens w/ Cap From Japan #970",https://www.ebay.com/itm/Mint-Nikon-AF-Nikkor-50mm-f-1-4-D-Standard-Lens-w-Cap-Japan-970-/401885734980,197.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR AF,8207.0,21
58,,Nikon AF NIKKOR 2870 mm f3545D Zoom Lens Japan 368807,254181048975,Nikon AF NIKKOR 28-70mm f/3.5-4.5D  Zoom Lens  from Japan  #368807,https://www.ebay.com/itm/Nikon-AF-NIKKOR-28-70mm-f-3-5-4-5D-Zoom-Lens-Japan-368807-/254181048975,39.99,USD,JP,3323,Lenses,StoreInventory,Used,AF Nikkor,8004.0,21
1,,NEAR MINT Nikon AF Nikkor 24 mm f28 1728,264473646297,[NEAR MINT] Nikon AF Nikkor 24mm f/2.8 (1728),https://www.ebay.com/itm/NEAR-MINT-Nikon-AF-Nikkor-24mm-f-2-8-1728-/264473646297,129.99,USD,JP,3323,Lenses,FixedPrice,Used,AF Nikkor,8004.0,21
15,,Mint Nikon AF NIKKOR 70210 mm f4056 Zoom Lens Filter JAPAN 122,293178550323,【Near Mint】 Nikon AF NIKKOR 70-210mm f4.0-5.6 Zoom Lens &Filter from JAPAN #12-2,https://www.ebay.com/itm/Near-Mint-Nikon-AF-NIKKOR-70-210mm-f4-0-5-6-Zoom-Lens-Filter-JAPAN-12-2-/293178550323,29.99,USD,JP,3323,Lenses,FixedPrice,Used,AF NIKKOR,8003.0,21
89,,Nikon AF NIKKOR 24120 mm F3556 D IF Zoom Lens Exc 90214A,153633413206,Nikon AF NIKKOR 24-120mm F3.5-5.6 D IF Zoom Lens [Exc+++] #90214A,https://www.ebay.com/itm/Nikon-AF-NIKKOR-24-120mm-F3-5-5-6-D-IF-Zoom-Lens-Exc-90214A-/153633413206,100.0,USD,JP,3323,Lenses,FixedPrice,Used,Nikon AF NIKKOR,7955.0,21
33,,NEAR MINT Nikon AF Nikkor 35135 mm f3545 AF Zoom Lens Japan 904,143380842783,*NEAR MINT* Nikon AF Nikkor 35-135mm f/3.5-4.5 AF Zoom Lens from Japan 904,https://www.ebay.com/itm/NEAR-MINT-Nikon-AF-Nikkor-35-135mm-f-3-5-4-5-AF-Zoom-Lens-Japan-904-/143380842783,48.8,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor,7954.0,21
