,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition
89,,Nikon Ai NIKKOR 28 mm f2 MF Prime Lens Japan,333321686822,Excellent+++++ Nikon Ai NIKKOR 28mm f/2 MF wide Prime Lens from Japan,https://www.ebay.com/itm/Excellent-Nikon-Ai-NIKKOR-28mm-f-2-MF-wide-Prime-Lens-Japan-/333321686822,179.0,USD,JP,3323,Lenses,FixedPrice,Used
91,,Mint Nikon Nikkor 180 mm Ais Ais F28 ED MF Telephoto Lens Japan,372782853508,[Mint] Nikon Nikkor 180mm Ai-s Ais F/2.8 ED MF Telephoto Lens From Japan,https://www.ebay.com/itm/Mint-Nikon-Nikkor-180mm-Ai-s-Ais-F-2-8-ED-MF-Telephoto-Lens-Japan-/372782853508,319.99,USD,JP,3323,Lenses,StoreInventory,Used
94,,NEAR MINTNIKON F5 35 mm SLR Film Camera Body Late Model wStrap Japan 448,392342701413,【NEAR MINT】NIKON F5 35mm SLR Film Camera Body Late Model w/Strap From Japan #448,https://www.ebay.com/itm/NEAR-MINT-NIKON-F5-35mm-SLR-Film-Camera-Body-Late-Model-w-Strap-Japan-448-/392342701413,327.9,USD,JP,15230,Film Cameras,StoreInventory,Used
7,,Nikon AF NIKKOR 2880 mm f3556 D Zoom Lens Nikon F Mount Exc Japan,153574445414,Nikon AF NIKKOR 28-80mm f/3.5-5.6 D Zoom Lens for Nikon F Mount Exc+ from Japan,https://www.ebay.com/itm/Nikon-AF-NIKKOR-28-80mm-f-3-5-5-6-D-Zoom-Lens-Nikon-F-Mount-Exc-Japan-/153574445414,49.99,USD,JP,3323,Lenses,StoreInventory,Used
11,,NIKON AF Nikkor 20 mm F28 Prime Lens JAPAN 020,153643574953,NIKON AF Nikkor 20mm F2.8 Prime Lens From JAPAN #020,https://www.ebay.com/itm/NIKON-AF-Nikkor-20mm-F2-8-Prime-Lens-JAPAN-020-/153643574953,145.99,USD,JP,3323,Lenses,FixedPrice,Used
16,,Nikon Nikomat EL 35 mm SLR Film Camera Body,223679782872,Nikon Nikomat EL 35mm SLR Film Camera Body Only  SN5562343,https://www.ebay.com/itm/Nikon-Nikomat-EL-35mm-SLR-Film-Camera-Body-Only-SN5562343-/223679782872,29.8,USD,JP,15230,Film Cameras,StoreInventory,Used
20,,EXCNikon Nikkor Ai 85 mm f2 AI Manual Focus Lens Japan T1245,143383625766,【EXC+++++】Nikon Nikkor Ai 85mm f/2 AI Manual Focus Lens From Japan T1245,https://www.ebay.com/itm/EXC-Nikon-Nikkor-Ai-85mm-f-2-AI-Manual-Focus-Lens-Japan-T1245-/143383625766,179.99,USD,JP,3323,Lenses,StoreInventory,Used
29,,NIKON NikkorS Auto 50 mm 14 Lens JAPAN 190092399762,173845301288,"""As Is"" NIKON Nikkor-S Auto 50mm f/ 1.4 Lens JAPAN #190092-399762",https://www.ebay.com/itm/As-Is-NIKON-Nikkor-S-Auto-50mm-f-1-4-Lens-JAPAN-190092-399762-/173845301288,59.99,USD,JP,3323,Lenses,StoreInventory,Used
31,,Excellent Nikon Nikkor 20 mm F28 AF Wide Angle Lens Japan,163858399223,Excellent Nikon Nikkor 20mm F/2.8 AF Wide Angle Lens Made In Japan,https://www.ebay.com/itm/Excellent-Nikon-Nikkor-20mm-F-2-8-AF-Wide-Angle-Lens-Made-Japan-/163858399223,206.67,USD,JP,3323,Lenses,StoreInventory,Used
32,,Mint Tokina ATX PRO AF 2870 mm Lens Nikon Cap Japan 1054,401885733020,"""Mint"" Tokina AT-X PRO AF 28-70mm f/2.8 Lens for Nikon w/ Cap From Japan #1054",https://www.ebay.com/itm/Mint-Tokina-AT-X-PRO-AF-28-70mm-f-2-8-Lens-Nikon-w-Cap-Japan-1054-/401885733020,229.99,USD,JP,3323,Lenses,StoreInventory,Used
