,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts,Target
0,,Nikon ZoomNikkor C Auto 4386 mm f35 NonAi LensVery Good No 598974,333229470903,Nikon Zoom-Nikkor C Auto 43-86mm f/3.5 Non-Ai LensVery Good No. 598974,https://www.ebay.com/itm/Nikon-Zoom-Nikkor-C-Auto-43-86mm-f-3-5-Non-Ai-LensVery-Good-No-598974-/333229470903,22.0,USD,JP,3323,Lenses,StoreInventory,Used,MF,5238.0,3
93,,Exc Nikon Zoom Nikkor C Auto 4386 mm NonAi MF Lens Japan,293110660441,[Exc ++++] Nikon Zoom Nikkor C Auto 43-86mm f/3.5 Non-Ai MF Lens from Japan,https://www.ebay.com/itm/Exc-Nikon-Zoom-Nikkor-C-Auto-43-86mm-f-3-5-Non-Ai-MF-Lens-Japan-/293110660441,25.5,USD,JP,3323,Lenses,StoreInventory,Used,MF,5238.0,3
58,,Exc4Nikon NIKKOR C Auto 4386 mm NonAi MF Zoom Lens JAPAN 78,323855197021,【Exc+4】Nikon NIKKOR C Auto 43-86mm f/3.5 Non-Ai MF Zoom Lens From JAPAN #78,https://www.ebay.com/itm/Exc-4-Nikon-NIKKOR-C-Auto-43-86mm-f-3-5-Non-Ai-MF-Zoom-Lens-JAPAN-78-/323855197021,49.99,USD,JP,3323,Lenses,StoreInventory,Used,MF,5238.0,3
29,,Ship 24 Hrs Mint Box Nikon ZoomNikkor 4386 mm NonAi MF Lens,133116453434,@ Ship in 24 Hrs! @ Mint in Box! @ Nikon Zoom-Nikkor 43-86mm f3.5 Non-Ai MF Lens,https://www.ebay.com/itm/Ship-24-Hrs-Mint-Box-Nikon-Zoom-Nikkor-43-86mm-f3-5-Non-Ai-MF-Lens-/133116453434,65.0,USD,JP,3323,Lenses,StoreInventory,Used,MF,5238.0,3
42,,Exc5 Nikon AI ZoomNIKKOR 80200 mm f45 MF Lens F Mount JAPAN 503,383047921278,【Exc+5】 Nikon AI Zoom-NIKKOR 80-200mm f/4.5 MF Lens for F Mount from JAPAN # 503,https://www.ebay.com/itm/Exc-5-Nikon-AI-Zoom-NIKKOR-80-200mm-f-4-5-MF-Lens-F-Mount-JAPAN-503-/383047921278,78.99,USD,JP,3323,Lenses,StoreInventory,Used,AI,5039.0,3
96,,NEAR MINTNikon NIKKOR Ai 28 mm F28 MF Angle Prime Lens Japan,293015358811,【NEAR MINT】Nikon NIKKOR Ai 28mm F/2.8 MF Wide Angle Prime Lens From Japan,https://www.ebay.com/itm/NEAR-MINT-Nikon-NIKKOR-Ai-28mm-F-2-8-MF-Wide-Angle-Prime-Lens-Japan-/293015358811,178.9,USD,JP,3323,Lenses,StoreInventory,Used,AI,5039.0,3
15,,Nikon NONAI Zoom NIKKOR 80200 mm f45 MF Lens condition,303192922562,Nikon NON-AI Zoom NIKKOR 80-200mm f/4.5 MF Lens in Very Good condition,https://www.ebay.com/itm/Nikon-NON-AI-Zoom-NIKKOR-80-200mm-f-4-5-MF-Lens-Very-Good-condition-/303192922562,14.0,USD,JP,3323,Lenses,StoreInventory,Used,AI,5039.0,3
14,,Nikon Ai Micro Nikkor 105 mm 4 MF Lens JAPAN 191080,174020982918,"""Excellent"" Nikon Ai Micro Nikkor 105mm f/ 4 MF Lens JAPAN #191080",https://www.ebay.com/itm/Excellent-Nikon-Ai-Micro-Nikkor-105mm-f-4-MF-Lens-JAPAN-191080-/174020982918,69.99,USD,JP,3323,Lenses,StoreInventory,Used,Ai,5039.0,3
81,,Excellent Nikon Nikkor 50 mm F18 AI MF Long Version JAPAN 190862,173983590224,"""Excellent"" Nikon Nikkor 50mm F1.8 AI MF Long Version JAPAN #190862",https://www.ebay.com/itm/Excellent-Nikon-Nikkor-50mm-F1-8-AI-MF-Long-Version-JAPAN-190862-/173983590224,80.74,USD,JP,3323,Lenses,StoreInventory,Used,Ai,5039.0,3
9,,Nikon Ai NIKKOR 24 mm f28 MF Lens JAPAN 190564445935,173916905242,"""As is"" Nikon Ai NIKKOR 24mm f/2.8 MF Lens JAPAN #190564-445935",https://www.ebay.com/itm/As-is-Nikon-Ai-NIKKOR-24mm-f-2-8-MF-Lens-JAPAN-190564-445935-/173916905242,99.99,USD,JP,3323,Lenses,StoreInventory,Used,Ai,5039.0,3
