,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts
58,,nikon nikkor sw,254202823648,"665 Nikon NIKKOR SW 90mm f/4.5 ***Near MINT*** with COPAL 0 Shutter, Board",https://www.ebay.com/itm/665-Nikon-NIKKOR-SW-90mm-f-4-5-Near-MINT-COPAL-0-Shutter-Board-/254202823648,347.8,USD,JP,3323,Lenses,StoreInventory,Used,NIKKOR SW,82
36,,nikon nikkor af,283605649622,Nikon Nikkor AF 20-35mm F2.8 D Lens #EL2143,https://www.ebay.com/itm/Nikon-Nikkor-AF-20-35mm-F2-8-D-Lens-EL2143-/283605649622,399.99,USD,JP,3323,Lenses,StoreInventory,Used,,8115
48,,nikon nikkor af,183768534633,[NEAR MINT] Nikon Nikkor AF 300mm f/4 ED from japan #107,https://www.ebay.com/itm/NEAR-MINT-Nikon-Nikkor-AF-300mm-f-4-ED-japan-107-/183768534633,399.0,USD,JP,3323,Lenses,StoreInventory,Used,,8115
0,,nikon nikkor sw,333320708739,Nikon Nikkor SW 75mm F/4.5 S Large Format Lens 4x5 VG from JAPAN  487321,https://www.ebay.com/itm/Nikon-Nikkor-SW-75mm-F-4-5-S-Large-Format-Lens-4x5-VG-JAPAN-487321-/333320708739,288.0,USD,JP,3323,Lenses,StoreInventory,Used,,81
19,,nikon nikkor sw,333268668246,Nikon Nikkor SW 90mm f/4.5 f4.5 Large format film lens EXC from japan 465640,https://www.ebay.com/itm/Nikon-Nikkor-SW-90mm-f-4-5-f4-5-Large-format-film-lens-EXC-japan-465640-/333268668246,308.0,USD,JP,3323,Lenses,StoreInventory,Used,,81
57,,nikon nikkor sw,153636567062,""" Near Mint "" Nikon Nikkor SW 75mm F/4.5 Lens COPAL 0 Shutter From Japan E050",https://www.ebay.com/itm/Near-Mint-Nikon-Nikkor-SW-75mm-F-4-5-Lens-COPAL-0-Shutter-Japan-E050-/153636567062,299.99,USD,JP,3323,Lenses,StoreInventory,Used,,81
11,,nikon nikkor sw,392340644443,[Near MINT] Nikon Nikkor SW 65mm f/4 Large Format Lens COPAL 0 From Japan #1053,https://www.ebay.com/itm/Near-MINT-Nikon-Nikkor-SW-65mm-f-4-Large-Format-Lens-COPAL-0-Japan-1053-/392340644443,379.9,USD,JP,3323,Lenses,FixedPrice,Used,,81
81,,nikon nikkor sw,372754710586,Nikon Nikkor SW 120mm f/8 S lends From Japan,https://www.ebay.com/itm/Nikon-Nikkor-SW-120mm-f-8-S-lends-Japan-/372754710586,510.0,USD,JP,3323,Lenses,FixedPrice,Used,,81
55,,nikon nikkor sw,163835610256,*AS IS Nikon Nikkor SW 75mm f/4.5 f 4.5 Lens w/Copal 0 Toyo View Board *672546,https://www.ebay.com/itm/AS-Nikon-Nikkor-SW-75mm-f-4-5-f-4-5-Lens-w-Copal-0-Toyo-View-Board-672546-/163835610256,227.04,USD,JP,3323,Lenses,FixedPrice,Used,,81
4,,nikon nikkor 105mm,352784967406,Excellent+++++ Nikon Nikkor 105mm f/2.5 f 2.5 Non Ai Portrait Lens From Japan,https://www.ebay.com/itm/Excellent-Nikon-Nikkor-105mm-f-2-5-f-2-5-Non-Ai-Portrait-Lens-Japan-/352784967406,119.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Nikkor 105mm f/2.5 f 2.5 Non Ai,80
88,,nikon r10 super,401883393304,*Exc++++* Nikon R10 Super 8mm Movie Camera NIKKOR 7-70mm F/1.4 Zoom  *ALL WORKS*,https://www.ebay.com/itm/Exc-Nikon-R10-Super-8mm-Movie-Camera-NIKKOR-7-70mm-F-1-4-Zoom-ALL-WORKS-/401883393304,349.9,USD,JP,4689,Movie Cameras,StoreInventory,Used,Nikon R10,8
18,,nikon nikkor 18mm,143372162607,[ Near MINT ] Nikon NIKKOR 18mm F3.5 Ai-S AiS Wide Angle MF Lens from Japan #204,https://www.ebay.com/itm/Near-MINT-Nikon-NIKKOR-18mm-F3-5-Ai-S-AiS-Wide-Angle-MF-Lens-Japan-204-/143372162607,419.9,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR 18mm F3.5 Ai-S,8
71,,nikon from japan,143327623068,*EXC* Sigma 70-200mm F/2.8 D F/2.8D APO HSM EX Lens for NIKON From JAPAN #b,https://www.ebay.com/itm/EXC-Sigma-70-200mm-F-2-8-D-F-2-8D-APO-HSM-EX-Lens-NIKON-JAPAN-b-/143327623068,385.0,USD,JP,3323,Lenses,StoreInventory,Used,Sigma 70-200mm F/2.8D,8
9,,nikon dr6 angle,283584974840,▣ MINT in Case ▣ Nikon DR-6 Angle Finder from Japan #91,https://www.ebay.com/itm/MINT-Case-Nikon-DR-6-Angle-Finder-Japan-91-/283584974840,74.99,USD,JP,167930,Viewfinders & Eyecups,FixedPrice,Used,Nikon DR-6 Angle Finder,8
61,,nikon type p,174030290327,Nikon type P Focusing Screen,https://www.ebay.com/itm/Nikon-type-P-Focusing-Screen-/174030290327,39.99,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used,TYPE P,8
